train sample numbers: 50
train label numbers: 50
network neuron numbers per layer (input layer on the far left): 
(272 22 10)
train starting...


No. 41076	mean error: 0.44565296744223987
No. 41160	mean error: 0.44565304870780503
No. 41244	mean error: 0.4456531298689055
No. 41328	mean error: 0.4456532109256665
No. 41412	mean error: 0.4456532918782137
No. 41496	mean error: 0.445653372726674
No. 41580	mean error: 0.44565345347117485
No. 41664	mean error: 0.44565353411184483
No. 41748	mean error: 0.44565361464881303
No. 41832	mean error: 0.4456536950822088
No. 41916	mean error: 0.44565377541216367
No. 42000	mean error: 0.4456538556388084
No. 42084	mean error: 0.44565393576227535
No. 42168	mean error: 0.445654015782697
No. 42252	mean error: 0.4456540957002073
No. 42336	mean error: 0.44565417551494035
No. 42420	mean error: 0.4456542552270305
No. 42504	mean error: 0.4456543348366136
No. 42588	mean error: 0.44565441434382547
No. 42672	mean error: 0.44565449374880267
No. 42756	mean error: 0.4456545730516829
No. 42840	mean error: 0.4456546522526035
No. 42924	mean error: 0.4456547313517033
No. 43008	mean error: 0.44565481034912097
No. 43092	mean error: 0.44565488924499574
No. 43176	mean error: 0.44565496803946836
No. 43260	mean error: 0.44565504673267886
No. 43344	mean error: 0.4456551253247681
No. 43428	mean error: 0.4456552038158778
No. 43512	mean error: 0.4456552822061499
No. 43596	mean error: 0.4456553604957269
No. 43680	mean error: 0.4456554386847516
No. 43764	mean error: 0.445655516773367
No. 43848	mean error: 0.44565559476171723
No. 43932	mean error: 0.4456556726499458
No. 44016	mean error: 0.44565575043819833
No. 44100	mean error: 0.44565582812661914
No. 44184	mean error: 0.4456559057153534
No. 44268	mean error: 0.44565598320454675
No. 44352	mean error: 0.4456560605943452
No. 44436	mean error: 0.44565613788489544
No. 44520	mean error: 0.44565621507634406
No. 44604	mean error: 0.44565629216883806
No. 44688	mean error: 0.4456563691625241
No. 44772	mean error: 0.44565644605755095
No. 44856	mean error: 0.4456565228540659
No. 44940	mean error: 0.445656599552217
No. 45024	mean error: 0.4456566761521534
No. 45108	mean error: 0.4456567526540234
No. 45192	mean error: 0.4456568290579757
No. 45276	mean error: 0.4456569053641603
No. 45360	mean error: 0.4456569815727262
No. 45444	mean error: 0.44565705768382285
No. 45528	mean error: 0.4456571336976011
No. 45612	mean error: 0.44565720961421007
No. 45696	mean error: 0.4456572854338011
No. 45780	mean error: 0.445657361156524
No. 45864	mean error: 0.44565743678253
No. 45948	mean error: 0.44565751231196943
No. 46032	mean error: 0.4456575877449938
No. 46116	mean error: 0.4456576630817544
No. 46200	mean error: 0.44565773832240313
No. 46284	mean error: 0.4456578134670902
No. 46368	mean error: 0.4456578885159685
No. 46452	mean error: 0.44565796346918946
No. 46536	mean error: 0.44565803832690504
No. 46620	mean error: 0.44565811308926717
No. 46704	mean error: 0.4456581877564283
No. 46788	mean error: 0.44565826232854094
No. 46872	mean error: 0.44565833680575695
No. 46956	mean error: 0.4456584111882291
No. 47040	mean error: 0.4456584854761102
No. 47124	mean error: 0.44565855966955253
No. 47208	mean error: 0.44565863376870907
No. 47292	mean error: 0.4456587077737326
No. 47376	mean error: 0.44565878168477596
No. 47460	mean error: 0.44565885550199213
No. 47544	mean error: 0.44565892922553374
No. 47628	mean error: 0.44565900285555426
No. 47712	mean error: 0.4456590763922066
No. 47796	mean error: 0.44565914983564425
No. 47880	mean error: 0.44565922318601947
No. 47964	mean error: 0.44565929644348623
No. 48048	mean error: 0.44565936960819713
No. 48132	mean error: 0.4456594426803056
No. 48216	mean error: 0.4456595156599651
No. 48300	mean error: 0.4456595885473282
No. 48384	mean error: 0.44565966134254853
No. 48468	mean error: 0.4456597340457789
No. 48552	mean error: 0.44565980665717303
No. 48636	mean error: 0.44565987917688354
No. 48720	mean error: 0.4456599516050638
No. 48804	mean error: 0.4456600239418668
No. 48888	mean error: 0.4456600961874455
No. 48972	mean error: 0.4456601683419534
No. 49056	mean error: 0.44566024040554303
No. 49140	mean error: 0.4456603123783674
No. 49224	mean error: 0.44566038426057986
No. 49308	mean error: 0.4456604560523324
No. 49392	mean error: 0.44566052775377857
No. 49476	mean error: 0.44566059936507074
No. 49560	mean error: 0.44566067088636147
No. 49644	mean error: 0.44566074231780384
No. 49728	mean error: 0.4456608136595496
No. 49812	mean error: 0.44566088491175193
No. 49896	mean error: 0.44566095607456285
No. 49980	mean error: 0.44566102714813466
No. 50064	mean error: 0.4456610981326196
No. 50148	mean error: 0.4456611690281697
No. 50232	mean error: 0.44566123983493716
No. 50316	mean error: 0.4456613105530737
No. 50400	mean error: 0.44566138118273085
No. 50484	mean error: 0.445661451724061
No. 50568	mean error: 0.44566152217721533
No. 50652	mean error: 0.4456615925423457
No. 50736	mean error: 0.4456616628196025
No. 50820	mean error: 0.44566173300913825
No. 50904	mean error: 0.4456618031111033
No. 50988	mean error: 0.4456618731256489
No. 51072	mean error: 0.445661943052926
No. 51156	mean error: 0.4456620128930853
No. 51240	mean error: 0.4456620826462774
No. 51324	mean error: 0.44566215231265277
No. 51408	mean error: 0.445662221892362
No. 51492	mean error: 0.445662291385555
No. 51576	mean error: 0.44566236079238214
No. 51660	mean error: 0.4456624301129932
No. 51744	mean error: 0.44566249934753777
No. 51828	mean error: 0.44566256849616614
No. 51912	mean error: 0.4456626375590273
No. 51996	mean error: 0.4456627065362705
No. 52080	mean error: 0.44566277542804533
No. 52164	mean error: 0.4456628442345009
No. 52248	mean error: 0.44566291295578564
No. 52332	mean error: 0.4456629815920483
No. 52416	mean error: 0.4456630501434377
No. 52500	mean error: 0.445663118610102
No. 52584	mean error: 0.4456631869921895
No. 52668	mean error: 0.44566325528984785
No. 52752	mean error: 0.44566332350322574
No. 52836	mean error: 0.4456633916324701
No. 52920	mean error: 0.4456634596777292
No. 53004	mean error: 0.4456635276391495
No. 53088	mean error: 0.4456635955168789
No. 53172	mean error: 0.4456636633110636
No. 53256	mean error: 0.4456637310218513
No. 53340	mean error: 0.44566379864938765
No. 53424	mean error: 0.4456638661938198
No. 53508	mean error: 0.44566393365529394
No. 53592	mean error: 0.44566400103395587
No. 53676	mean error: 0.44566406832995137
No. 53760	mean error: 0.44566413554342593
No. 53844	mean error: 0.4456642026745257
No. 53928	mean error: 0.4456642697233951
No. 54012	mean error: 0.4456643366901798
No. 54096	mean error: 0.44566440357502424
No. 54180	mean error: 0.4456644703780738
No. 54264	mean error: 0.44566453709947207
No. 54348	mean error: 0.44566460373936356
No. 54432	mean error: 0.44566467029789253
No. 54516	mean error: 0.4456647367752025
No. 54600	mean error: 0.4456648031714377
No. 54684	mean error: 0.44566486948674094
No. 54768	mean error: 0.44566493572125554
No. 54852	mean error: 0.44566500187512503
No. 54936	mean error: 0.4456650679484915
No. 55020	mean error: 0.4456651339414977
No. 55104	mean error: 0.44566519985428615
No. 55188	mean error: 0.4456652656869992
No. 55272	mean error: 0.4456653314397784
No. 55356	mean error: 0.4456653971127654
No. 55440	mean error: 0.4456654627061021
No. 55524	mean error: 0.44566552821992966
No. 55608	mean error: 0.4456655936543887
No. 55692	mean error: 0.44566565900962085
No. 55776	mean error: 0.4456657242857656
No. 55860	mean error: 0.4456657894829646
No. 55944	mean error: 0.4456658546013571
No. 56028	mean error: 0.44566591964108343
No. 56112	mean error: 0.445665984602283
No. 56196	mean error: 0.4456660494850954
No. 56280	mean error: 0.44566611428965996
No. 56364	mean error: 0.4456661790161159
No. 56448	mean error: 0.44566624366460184
No. 56532	mean error: 0.44566630823525644
No. 56616	mean error: 0.44566637272821735
No. 56700	mean error: 0.4456664371436236
No. 56784	mean error: 0.4456665014816125
No. 56868	mean error: 0.445666565742322
No. 56952	mean error: 0.4456666299258894
No. 57036	mean error: 0.44566669403245185
No. 57120	mean error: 0.44566675806214595
No. 57204	mean error: 0.44566682201510893
No. 57288	mean error: 0.4456668858914772
No. 57372	mean error: 0.44566694969138637
No. 57456	mean error: 0.4456670134149733
No. 57540	mean error: 0.4456670770623732
No. 57624	mean error: 0.4456671406337215
No. 57708	mean error: 0.44566720412915367
No. 57792	mean error: 0.44566726754880515
No. 57876	mean error: 0.4456673308928098
No. 57960	mean error: 0.44566739416130313
No. 58044	mean error: 0.44566745735441876
